id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
279;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
280;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
281;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
282;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
283;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
284;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
285;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
286;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
287;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
288;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
289;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
290;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
291;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
292;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
293;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
294;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
295;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
296;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
297;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
298;-;-;zebra;-;crossing;footway;-;-;-;-;-;-;-;-;-
299;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
300;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
301;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
302;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
303;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
304;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
305;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
306;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
307;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
308;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
309;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
310;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
311;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
312;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
313;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
314;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
315;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
316;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
317;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
318;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
319;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
320;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
321;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
322;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
323;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
324;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
325;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
326;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
327;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
328;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
329;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
330;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
331;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
332;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
333;-;-;-;-;-;service;-;-;-;-;-;-;-;driveway;-
334;-;-;-;-;sidewalk;footway;-;-;-;-;-;-;-;-;-
335;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
336;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
337;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
338;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
339;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
340;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
341;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
342;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
343;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
344;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
345;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
346;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
347;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
348;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
349;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
350;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
351;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
352;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
